#cluster	accession	definition	organism	taxid	length
CLSP2493539	YP_164786	hypothetical protein	Lactobacillus phage LP65	298338	145
CLSP2493538	YP_164787	hypothetical protein	Lactobacillus phage LP65	298338	94
CLSP2493537	YP_164342	hypothetical protein	Thermoproteus tenax spherical virus 1	292639	504
CLSP2493534	YP_001686926	hypothetical protein	Azospirillum phage Cd	467481	356
CLSP2493527	YP_453642	lytic enzyme	Xanthomonas phage OP2	331627	179
CLSP2493525	YP_112520	hypothetical protein	Flavobacterium phage 11b	294631	170
CLSP2493524	YP_112499	hypothetical protein	Flavobacterium phage 11b	294631	74
CLSP2493523	YP_001552314	hypothetical protein	Thalassomonas phage BA3	469660	109
CLSP2493514	YP_053003	hypothetical protein	Vibrio phage VP2	260372	79
CLSP2493513	YP_053002	hypothetical protein	Vibrio phage VP2	260372	96
CLSP2493511	YP_053000	hypothetical protein	Vibrio phage VP2	260372	123
CLSP2493508	YP_052996	hypothetical protein	Vibrio phage VP2	260372	208
CLSP2493507	YP_052995	hypothetical protein	Vibrio phage VP2	260372	168
CLSP2493503	YP_052991	hypothetical protein	Vibrio phage VP2	260372	155
CLSP2493498	YP_052983	hypothetical protein	Vibrio phage VP2	260372	100
CLSP2493495	YP_052980	hypothetical protein	Vibrio phage VP2	260372	89
CLSP2493494	YP_052979	hypothetical protein	Vibrio phage VP2	260372	322
CLSP2493493	YP_052978	hypothetical protein	Vibrio phage VP2	260372	292
CLSP2493492	YP_052977	hypothetical protein	Vibrio phage VP2	260372	85
CLSP2493491	YP_052976	hypothetical protein	Vibrio phage VP2	260372	75
CLSP2493489	YP_024873	gp26	Burkholderia phage BcepB1A	279530	578
CLSP2493487	YP_024836	Pas50	Actinoplanes phage phiAsp2	279303	153
CLSP2493486	YP_024815	Pas29	Actinoplanes phage phiAsp2	279303	936
CLSP2493477	YP_002117697	hypothetical protein	Lactobacillus phage Lrm1	496874	58
CLSP2493463	YP_024785	hypothetical protein	Pseudomonas phage PaP2	270673	76
CLSP2493448	YP_001218841	hypothetical protein	Pseudomonas phage 119X	347326	103
CLSP2493443	YP_001218835	hypothetical protein	Pseudomonas phage 119X	347326	318
CLSP2493442	YP_001218833	hypothetical protein	Pseudomonas phage 119X	347326	109
CLSP2493428	YP_001218817	hypothetical protein	Pseudomonas phage 119X	347326	115
CLSP2493427	YP_001218816	hypothetical protein	Pseudomonas phage 119X	347326	217
CLSP2493417	YP_001218806	hypothetical protein	Pseudomonas phage 119X	347326	69
CLSP2493416	YP_001218805	hypothetical protein	Pseudomonas phage 119X	347326	99
CLSP2493394	YP_052989	hypothetical protein	Vibrio phage VP2	260372	343
CLSP2493393	YP_024983	hypothetical protein	Vibrio phage VP5	260827	192
CLSP2493392	YP_024425	outer capsid protein	Vibrio phage VP2	260372	460
CLSP2493388	YP_024418	terminase	Vibrio phage VP2	260372	568
CLSP2493387	YP_241029	ORF125	Staphylococcus phage G1	292029	115
CLSP2493386	YP_164389	hypothetical protein	Bacillus phage BCJA1c	294382	95
CLSP2493383	YP_241010	ORF144	Staphylococcus phage G1	292029	102
CLSP2493382	YP_240983	ORF252	Staphylococcus phage G1	292029	54
CLSP2493381	YP_240972	ORF143	Staphylococcus phage G1	292029	103
CLSP2493379	YP_240949	ORF130	Staphylococcus phage G1	292029	109
CLSP2493378	YP_241095	ORF084	Staphylococcus phage G1	292029	166
CLSP2493376	YP_241093	ORF146	Staphylococcus phage G1	292029	102
CLSP2493374	YP_241077	ORF007	Staphylococcus phage G1	292029	682
CLSP2493373	YP_241070	ORF038	Staphylococcus phage G1	292029	281
CLSP2493372	YP_241067	ORF077	Staphylococcus phage G1	292029	177
CLSP2493371	YP_241066	ORF072	Staphylococcus phage G1	292029	180
CLSP2493370	YP_241060	ORF050	Staphylococcus phage G1	292029	245
CLSP2493369	YP_241053	ORF111	Staphylococcus phage G1	292029	132
CLSP2493348	YP_006986	lytic conversion lipoprotein precursor	Enterobacteria phage T5	10726	77
CLSP2493230	YP_001798583	hypothetical protein	Acidianus filamentous virus 9	512792	113
CLSP2493229	YP_003750	hypothetical protein	Acidianus filamentous virus 1	235266	140
CLSP2493219	YP_003169640	hypothetical protein	Staphylococcus phage P954	668618	69
CLSP2493215	NP_996653	hypothetical protein	Bordetella phage BIP-1	263375	87
CLSP2493201	YP_001742057	hypothetical protein	Salmonella phage Vi II-E1	424716	83
CLSP2493199	YP_001456745	gp15, minor tail protein	Corynebacterium phage BFK20	28358	1604
CLSP2493198	YP_001504198	putative transcriptional regulator	Enterococcus phage phiEF24C	442493	83
CLSP2493195	YP_001468934	putative major capsid protein	Corynebacterium phage P1201	384848	361
CLSP2493194	YP_002241984	gp1	Mycobacterium phage Brujita	561996	159
CLSP2493193	NP_958259	hypothetical protein	Streptomyces phage VWB	10702	166
CLSP2493192	NP_958256	hypothetical protein	Streptomyces phage VWB	10702	147
CLSP2493191	NP_958254	hypothetical protein	Streptomyces phage VWB	10702	258
CLSP2493189	YP_579186	hypothetical protein	Streptomyces phage mu1/6	370623	362
CLSP2493188	YP_579181	hypothetical protein	Streptomyces phage mu1/6	370623	81
CLSP2493187	NP_958243	hypothetical protein	Streptomyces phage VWB	10702	127
CLSP2493173	YP_001111147	gp68, hypothetical protein	Burkholderia phage phi644-2	431891	95
CLSP2493110	NP_944234	Bcep22gp05	Burkholderia phage Bcep22	242527	330
CLSP2493109	NP_944231	Bcep22gp01	Burkholderia phage Bcep22	242527	171
CLSP2493085	NP_944171	hypothetical protein	Aeromonas phage Aeh1	227470	178
CLSP2493084	NP_944227	hypothetical protein	Aeromonas phage Aeh1	227470	55
CLSP2493079	NP_943928	hypothetical protein	Aeromonas phage Aeh1	227470	160
CLSP2493077	NP_943905	hypothetical protein	Aeromonas phage Aeh1	227470	964
CLSP2493075	YP_001294898	BcepNY3gp60	Burkholderia phage BcepNY3	446807	351
CLSP2493074	NP_944358	gp49	Burkholderia phage Bcep1	244310	63
CLSP2493073	NP_944353	gp44	Burkholderia phage Bcep1	244310	87
CLSP2493072	NP_944341	gp32	Burkholderia phage Bcep1	244310	59
CLSP2493071	NP_944324	gp16	Burkholderia phage Bcep1	244310	42
CLSP2493069	YP_002241413	gp103	Mycobacterium phage Chah	563124	112
CLSP2493068	YP_002241410	gp100	Mycobacterium phage Chah	563124	59
CLSP2493067	YP_002241407	gp97	Mycobacterium phage Chah	563124	81
CLSP2493065	YP_002241404	gp94	Mycobacterium phage Chah	563124	100
CLSP2493064	YP_002241403	gp93	Mycobacterium phage Chah	563124	73
CLSP2493063	YP_002241402	gp92	Mycobacterium phage Chah	563124	61
CLSP2493062	YP_002241401	gp91	Mycobacterium phage Chah	563124	73
CLSP2493061	YP_002241400	gp90	Mycobacterium phage Chah	563124	65
CLSP2493060	YP_002241399	gp89	Mycobacterium phage Chah	563124	86
CLSP2493059	YP_002241398	gp88	Mycobacterium phage Chah	563124	59
CLSP2493058	YP_655179	gp83	Mycobacterium phage Orion	373409	127
CLSP2493057	YP_002241395	gp85	Mycobacterium phage Chah	563124	128
CLSP2493055	YP_002241390	gp80	Mycobacterium phage Chah	563124	144
CLSP2493047	YP_002241375	gp65	Mycobacterium phage Chah	563124	118
CLSP2493046	YP_002241374	gp64	Mycobacterium phage Chah	563124	50
CLSP2493043	YP_002241366	gp56	Mycobacterium phage Chah	563124	71
CLSP2493040	YP_002241358	gp48	Mycobacterium phage Chah	563124	78
CLSP2493038	YP_002241354	gp44	Mycobacterium phage Chah	563124	72
CLSP2493036	YP_002241338	gp28	Mycobacterium phage Chah	563124	113
CLSP2493033	YP_002241329	gp19	Mycobacterium phage Chah	563124	76
CLSP2493031	YP_002241321	gp11	Mycobacterium phage Chah	563124	45
CLSP2493029	YP_002241315	gp5	Mycobacterium phage Chah	563124	45
CLSP2493027	YP_002241313	gp3	Mycobacterium phage Chah	563124	71
CLSP2493019	YP_238972	hypothetical protein	Aeromonas phage 31	321023	74
CLSP2493012	YP_238958	hypothetical protein	Aeromonas phage 31	321023	145
CLSP2493009	YP_238937	hypothetical protein	Aeromonas phage 31	321023	79
CLSP2493008	YP_238936	hypothetical protein	Aeromonas phage 31	321023	52
CLSP2493006	YP_238926	similar to NP_932554.1	Aeromonas phage 31	321023	76
CLSP2493002	YP_238855	hypothetical protein	Aeromonas phage 31	321023	88
CLSP2493001	YP_238851	hypothetical protein	Aeromonas phage 31	321023	139
CLSP2492997	YP_238822	hypothetical protein	Aeromonas phage 31	321023	62
CLSP2492991	YP_238799	hypothetical protein	Aeromonas phage 31	321023	59
CLSP2492986	YP_238780	hypothetical protein	Aeromonas phage 31	321023	118
CLSP2492985	YP_238779	hypothetical protein	Aeromonas phage 31	321023	155
CLSP2492984	YP_238753	hypothetical protein	Aeromonas phage 31	321023	47
CLSP2492975	NP_899593	gp12	Vibrio phage KVP40	75320	512
CLSP2492968	NP_899498	hypothetical protein	Vibrio phage KVP40	75320	231
CLSP2492966	NP_899484	hypothetical protein	Vibrio phage KVP40	75320	210
CLSP2492963	YP_001837009	nicotinamide-nucleotide adenylyltransferase	Enterobacteria phage EPS7	491003	351
CLSP2492961	NP_899425	hypothetical protein	Vibrio phage KVP40	75320	137
CLSP2492960	NP_899422	hypothetical protein	Vibrio phage KVP40	75320	117
CLSP2492959	YP_656271	GIY-YIG endonuclease	Aeromonas phage 25	233894	267
CLSP2492955	YP_002003513	anti-sigma factor	Escherichia phage rv5	399183	311
CLSP2492949	NP_892067	tail protein	Yersinia phage PY54	172667	847
CLSP2492939	NP_892052	hypothetical protein	Yersinia phage PY54	172667	188
CLSP2492914	YP_002922349	hypothetical protein	Enterobacteria phage JSE	576789	43
CLSP2492912	YP_002922346	hypothetical protein	Enterobacteria phage JSE	576789	97
CLSP2492906	YP_002922329	hypothetical protein	Enterobacteria phage JSE	576789	82
CLSP2492897	YP_001469570	hypothetical protein	Enterobacteria phage Phi1	448384	49
CLSP2492890	YP_002922288	hypothetical protein	Enterobacteria phage JSE	576789	59
CLSP2492884	YP_001469544	hypothetical protein	Enterobacteria phage Phi1	448384	92
CLSP2492869	YP_002922216	hypothetical protein	Enterobacteria phage JSE	576789	85
CLSP2492868	YP_002922205	hypothetical protein	Enterobacteria phage JSE	576789	84
CLSP2492866	YP_002922199	hypothetical protein	Enterobacteria phage JSE	576789	52
CLSP2492860	YP_002922192	hypothetical protein	Enterobacteria phage JSE	576789	61
CLSP2492853	YP_001469454	hypothetical protein	Enterobacteria phage Phi1	448384	65
CLSP2492833	YP_002922141	hypothetical protein	Enterobacteria phage JSE	576789	73
CLSP2492811	YP_002922086	ModB ADP-ribosylase	Enterobacteria phage JSE	576789	167
CLSP2492798	YP_002925179	hypothetical protein	Streptococcus phage PH10	644007	1137
CLSP2492793	YP_803072	hypothetical protein	Enterobacteria phage RB32	45406	172
CLSP2492748	YP_003344796	hypothetical protein	Aggregatibacter phage S1249	683735	502
CLSP2492731	NP_848255	hypothetical protein	Salmonella phage epsilon15	215158	251
CLSP2492713	NP_839917	hypothetical protein	Lactococcus phage P335 sensu lato	354260	90
CLSP2492709	NP_835708	hypothetical protein	Rhodothermus phage RM378	148943	69
CLSP2492708	NP_835692	hypothetical protein	Rhodothermus phage RM378	148943	597
CLSP2492707	NP_835707	hypothetical protein	Rhodothermus phage RM378	148943	254
CLSP2492706	NP_835626	hypothetical protein	Rhodothermus phage RM378	148943	621
CLSP2492705	NP_835604	hypothetical protein	Rhodothermus phage RM378	148943	209
CLSP2492702	YP_908851	truncated amidase	Staphylococcus phage phiNM3	387909	98
CLSP2492701	NP_818640	gp102	Mycobacterium phage Barnyard	205880	80
CLSP2492699	YP_002242141	gp84	Mycobacterium phage Konstantine	563121	99
CLSP2492696	NP_818606	gp68	Mycobacterium phage Barnyard	205880	131
CLSP2492692	YP_002242117	gp60	Mycobacterium phage Konstantine	563121	76
CLSP2492690	YP_656009	gp168	Mycobacterium phage Wildcat	373415	97
CLSP2492678	YP_002003364	gp6	Mycobacterium phage Predator	543153	131
CLSP2492674	NP_818500	gp200	Mycobacterium phage Omega	205879	72
CLSP2492673	YP_002117640	p082	Rhizobium phage 16-3	10704	91
CLSP2492672	NP_818469	gp169	Mycobacterium phage Omega	205879	63
CLSP2492671	NP_818426	gp128	Mycobacterium phage Omega	205879	184
CLSP2492670	NP_818417	gp119	Mycobacterium phage Omega	205879	79
CLSP2492663	NP_818352	gp51	Mycobacterium phage Omega	205879	209
CLSP2492659	NP_818323	gp22	Mycobacterium phage Omega	205879	166
CLSP2492658	NP_818322	gp21	Mycobacterium phage Omega	205879	257
CLSP2492657	NP_048412	UDP-Glucose glycosyltransferase	Paramecium bursaria Chlorella virus 1	10506	638
CLSP2492641	NP_818290	gp240	Mycobacterium phage Bxz1	205877	42
CLSP2492629	NP_818272	gp222	Mycobacterium phage Bxz1	205877	79
CLSP2492627	YP_002225104	gp227	Mycobacterium phage Myrna	546805	559
CLSP2492614	NP_818254	gp203	Mycobacterium phage Bxz1	205877	51
CLSP2492613	NP_818253	gp202	Mycobacterium phage Bxz1	205877	126
CLSP2492596	NP_818234	gp183	Mycobacterium phage Bxz1	205877	58
CLSP2492595	NP_818233	gp182	Mycobacterium phage Bxz1	205877	68
CLSP2492592	NP_818229	gp178	Mycobacterium phage Bxz1	205877	158
CLSP2492580	NP_818214	gp141	Mycobacterium phage Bxz1	205877	47
CLSP2492577	NP_818211	gp138	Mycobacterium phage Bxz1	205877	138
CLSP2492570	NP_818204	gp131	Mycobacterium phage Bxz1	205877	56
CLSP2492559	NP_818191	gp118	Mycobacterium phage Bxz1	205877	167
CLSP2492555	NP_818187	gp114	Mycobacterium phage Bxz1	205877	202
CLSP2492551	NP_818181	gp108	Mycobacterium phage Bxz1	205877	73
CLSP2492550	NP_818179	gp106	Mycobacterium phage Bxz1	205877	45
CLSP2492549	NP_818178	gp105	Mycobacterium phage Bxz1	205877	70
CLSP2492546	NP_818175	gp102	Mycobacterium phage Bxz1	205877	54
CLSP2492535	NP_818163	gp90	Mycobacterium phage Bxz1	205877	119
CLSP2492519	YP_002224985	gp67	Mycobacterium phage Myrna	546805	418
CLSP2492514	NP_818139	gp63	Mycobacterium phage Bxz1	205877	68
CLSP2492510	NP_818135	gp59	Mycobacterium phage Bxz1	205877	108
CLSP2492499	NP_818119	gp43	Mycobacterium phage Bxz1	205877	50
CLSP2492490	NP_818110	gp34	Mycobacterium phage Bxz1	205877	53
CLSP2492483	NP_818101	gp25	Mycobacterium phage Bxz1	205877	91
CLSP2492476	NP_818448	gp148	Mycobacterium phage Omega	205879	109
CLSP2492470	NP_818086	gp10	Mycobacterium phage Bxz1	205877	76
CLSP2492469	NP_818085	gp9	Mycobacterium phage Bxz1	205877	84
CLSP2492468	NP_818084	gp8	Mycobacterium phage Bxz1	205877	119
CLSP2492467	NP_818083	gp7	Mycobacterium phage Bxz1	205877	143
CLSP2492462	NP_818066	gp93	Mycobacterium phage Che9d	205876	49
CLSP2492456	NP_818014	gp41	Mycobacterium phage Che9d	205876	137
CLSP2492455	YP_655914	gp49	Mycobacterium phage Wildcat	373415	502
CLSP2492452	YP_655987	gp146	Mycobacterium phage Wildcat	373415	89
CLSP2492449	NP_817961	gp110	Mycobacterium phage Corndog	205875	188
CLSP2492448	NP_817938	gp87	Mycobacterium phage Corndog	205875	284
CLSP2492447	NP_817923	gp72	Mycobacterium phage Corndog	205875	99
CLSP2492446	NP_817920	gp69	Mycobacterium phage Corndog	205875	406
CLSP2492444	NP_817907	gp56	Mycobacterium phage Corndog	205875	199
CLSP2492443	YP_002242055	gp72	Mycobacterium phage Brujita	561996	298
CLSP2492442	YP_655760	gp80	Mycobacterium phage Qyrzula	373414	63
CLSP2492431	NP_817833	gp72	Mycobacterium phage Rosebush	205874	92
CLSP2492426	YP_655738	gp58	Mycobacterium phage Qyrzula	373414	86
CLSP2492419	NP_817727	gp50	Mycobacterium phage Che9c	205872	67
CLSP2492417	NP_818440	gp141	Mycobacterium phage Omega	205879	74
CLSP2492416	YP_002242050	gp67	Mycobacterium phage Brujita	561996	68
CLSP2492409	NP_817739	gp62	Mycobacterium phage Che9c	205872	91
CLSP2492406	NP_817698	gp20	Mycobacterium phage Che9c	205872	84
CLSP2492405	YP_001552354	gp25	Mycobacterium phage Giles	480808	754
CLSP2492394	NP_817666	gp77	Mycobacterium phage Bxz2	205870	77
CLSP2492389	NP_817700	gp22	Mycobacterium phage Che9c	205872	175
CLSP2492385	YP_654862	gp107	Mycobacterium phage 244	373403	37
CLSP2492381	YP_002014360	gp39	Mycobacterium phage Porky	546185	42
CLSP2492380	YP_654796	gp41	Mycobacterium phage 244	373403	59
CLSP2492373	YP_654757	gp2	Mycobacterium phage 244	373403	97
CLSP2492365	YP_001469300	gp67	Mycobacterium phage Tweety	439809	77
CLSP2492362	NP_817383	gp45	Mycobacterium phage Che8	205868	72
CLSP2492359	NP_817309	holin	Staphylococcus phage 44AHJD	204086	92
CLSP2492356	NP_047944	repressor	Streptomyces phage phiC31	10719	683
CLSP2492350	YP_001957174	virion structural protein	Pseudomonas phage 201phi2-1	198110	768
CLSP2492349	YP_001957142	hypothetical protein	Pseudomonas phage 201phi2-1	198110	226
CLSP2492347	YP_001957045	putative homing endonuclease	Pseudomonas phage 201phi2-1	198110	119
CLSP2492346	YP_001957121	hypothetical protein	Pseudomonas phage 201phi2-1	198110	92
CLSP2492345	YP_001957118	hypothetical protein	Pseudomonas phage 201phi2-1	198110	150
CLSP2492344	YP_001957116	hypothetical protein	Pseudomonas phage 201phi2-1	198110	159
CLSP2492343	NP_803824	ORF258	Pseudomonas phage phiKZ	169683	124
CLSP2492342	NP_803812	ORF246	Pseudomonas phage phiKZ	169683	218
CLSP2492341	YP_001957034	hypothetical protein	Pseudomonas phage 201phi2-1	198110	122
CLSP2492339	YP_001957064	hypothetical protein	Pseudomonas phage 201phi2-1	198110	122
CLSP2492338	NP_803790	ORF224	Pseudomonas phage phiKZ	169683	144
CLSP2492337	YP_001957058	hypothetical protein	Pseudomonas phage 201phi2-1	198110	135
CLSP2492335	NP_803775	ORF209	Pseudomonas phage phiKZ	169683	200
CLSP2492333	YP_001957042	hypothetical protein	Pseudomonas phage 201phi2-1	198110	219
CLSP2492332	YP_001957032	hypothetical protein	Pseudomonas phage 201phi2-1	198110	304
CLSP2492331	NP_803767	ORF201	Pseudomonas phage phiKZ	169683	649
CLSP2492330	YP_001957018	hypothetical protein	Pseudomonas phage 201phi2-1	198110	223
CLSP2492328	YP_001957016	hypothetical protein	Pseudomonas phage 201phi2-1	198110	165
CLSP2492327	NP_803763	ORF197	Pseudomonas phage phiKZ	169683	120
CLSP2492326	NP_803758	ORF192	Pseudomonas phage phiKZ	169683	236
CLSP2492325	NP_803755	ORF189	Pseudomonas phage phiKZ	169683	83
CLSP2492324	YP_001957005	hypothetical protein	Pseudomonas phage 201phi2-1	198110	136
CLSP2492323	YP_418218	hypothetical protein	Pseudomonas phage EL	273133	423
CLSP2492322	YP_001956994	hypothetical protein	Pseudomonas phage 201phi2-1	198110	629
CLSP2492321	YP_001956984	hypothetical protein	Pseudomonas phage 201phi2-1	198110	384
CLSP2492320	NP_803738	ORF172	Pseudomonas phage phiKZ	169683	146
CLSP2492319	NP_803737	ORF171	Pseudomonas phage phiKZ	169683	253
CLSP2492318	YP_001956979	hypothetical protein	Pseudomonas phage 201phi2-1	198110	178
CLSP2492317	YP_001956978	hypothetical protein	Pseudomonas phage 201phi2-1	198110	175
CLSP2492316	YP_001956970	virion structural protein	Pseudomonas phage 201phi2-1	198110	397
CLSP2492315	NP_803724	ORF158	Pseudomonas phage phiKZ	169683	316
CLSP2492314	YP_001956964	hypothetical protein	Pseudomonas phage 201phi2-1	198110	140
CLSP2492312	NP_803720	ORF154	Pseudomonas phage phiKZ	169683	161
CLSP2492311	YP_001956961	virion structural protein	Pseudomonas phage 201phi2-1	198110	316
CLSP2492310	NP_803717	ORF151	Pseudomonas phage phiKZ	169683	116
CLSP2492309	YP_001956957	hypothetical protein	Pseudomonas phage 201phi2-1	198110	108
CLSP2492308	NP_803714	ORF148	Pseudomonas phage phiKZ	169683	168
CLSP2492307	YP_001956954	hypothetical protein	Pseudomonas phage 201phi2-1	198110	241
CLSP2492306	YP_001956951	virion structural protein	Pseudomonas phage 201phi2-1	198110	206
CLSP2492305	YP_001956950	virion structural protein	Pseudomonas phage 201phi2-1	198110	137
CLSP2492304	YP_001956946	hypothetical protein	Pseudomonas phage 201phi2-1	198110	162
CLSP2492302	YP_001956944	hypothetical protein	Pseudomonas phage 201phi2-1	198110	201
CLSP2492301	NP_803698	ORF132	Pseudomonas phage phiKZ	169683	110
CLSP2492300	NP_803697	ORF131	Pseudomonas phage phiKZ	169683	771
CLSP2492299	YP_001956935	virion structural protein	Pseudomonas phage 201phi2-1	198110	290
CLSP2492298	NP_803692	ORF126	Pseudomonas phage phiKZ	169683	147
CLSP2492297	YP_001956930	hypothetical protein	Pseudomonas phage 201phi2-1	198110	224
CLSP2492296	NP_803690	ORF124	Pseudomonas phage phiKZ	169683	721
CLSP2492295	YP_001956922	virion structural protein	Pseudomonas phage 201phi2-1	198110	180
CLSP2492293	NP_803678	ORF112	Pseudomonas phage phiKZ	169683	91
CLSP2492292	YP_001956887	hypothetical protein	Pseudomonas phage 201phi2-1	198110	199
CLSP2492291	YP_001956883	virion structural protein	Pseudomonas phage 201phi2-1	198110	922
CLSP2492290	NP_803662	ORF096	Pseudomonas phage phiKZ	169683	371
CLSP2492289	NP_803660	ORF094	Pseudomonas phage phiKZ	169683	505
CLSP2492288	YP_001956881	virion structural protein	Pseudomonas phage 201phi2-1	198110	489
CLSP2492287	NP_803658	ORF092	Pseudomonas phage phiKZ	169683	440
CLSP2492284	NP_803652	ORF086	Pseudomonas phage phiKZ	169683	428
CLSP2492283	NP_803651	ORF085	Pseudomonas phage phiKZ	169683	149
CLSP2492282	YP_001956869	virion structural protein	Pseudomonas phage 201phi2-1	198110	425
CLSP2492281	NP_803649	ORF083	Pseudomonas phage phiKZ	169683	504
CLSP2492280	NP_803647	ORF081	Pseudomonas phage phiKZ	169683	473
CLSP2492279	NP_803645	ORF079	Pseudomonas phage phiKZ	169683	296
CLSP2492278	NP_803644	ORF078	Pseudomonas phage phiKZ	169683	164
CLSP2492277	NP_803643	ORF077	Pseudomonas phage phiKZ	169683	533
CLSP2492276	YP_001956853	hypothetical protein	Pseudomonas phage 201phi2-1	198110	703
CLSP2492275	YP_001956849	hypothetical protein	Pseudomonas phage 201phi2-1	198110	557
CLSP2492273	YP_001956847	hypothetical protein	Pseudomonas phage 201phi2-1	198110	247
CLSP2492272	YP_001956844	hypothetical protein	Pseudomonas phage 201phi2-1	198110	201
CLSP2492271	NP_803629	ORF063	Pseudomonas phage phiKZ	169683	185
CLSP2492270	YP_001956842	hypothetical protein	Pseudomonas phage 201phi2-1	198110	89
CLSP2492269	YP_001956829	hypothetical protein	Pseudomonas phage 201phi2-1	198110	631
CLSP2492267	NP_803615	ORF049	Pseudomonas phage phiKZ	169683	138
CLSP2492266	YP_001956804	hypothetical protein	Pseudomonas phage 201phi2-1	198110	276
CLSP2492265	NP_803609	ORF043	Pseudomonas phage phiKZ	169683	357
CLSP2492264	YP_001956791	hypothetical protein	Pseudomonas phage 201phi2-1	198110	157
CLSP2492263	NP_803605	ORF039	Pseudomonas phage phiKZ	169683	327
CLSP2492262	YP_001956782	hypothetical protein	Pseudomonas phage 201phi2-1	198110	170
CLSP2492261	YP_001956773	virion structural protein	Pseudomonas phage 201phi2-1	198110	273
CLSP2492260	NP_803594	ORF028	Pseudomonas phage phiKZ	169683	320
CLSP2492259	NP_803580	ORF014	Pseudomonas phage phiKZ	169683	370
CLSP2492258	YP_418131	hypothetical protein	Pseudomonas phage EL	273133	178
CLSP2492257	YP_001957112	hypothetical protein	Pseudomonas phage 201phi2-1	198110	78
CLSP2492256	NP_803576	ORF010	Pseudomonas phage phiKZ	169683	86
CLSP2492255	YP_001957108	hypothetical protein	Pseudomonas phage 201phi2-1	198110	70
CLSP2492254	NP_803571	ORF005	Pseudomonas phage phiKZ	169683	134
CLSP2492253	YP_001956729	dihydrofolate reductase	Pseudomonas phage 201phi2-1	198110	183
CLSP2492252	NP_803568	ORF002	Pseudomonas phage phiKZ	169683	194
CLSP2492251	NP_803567	ORF001	Pseudomonas phage phiKZ	169683	129
CLSP2492250	YP_001429963	integrase	Staphylococcus phage tp310-3	445517	345
CLSP2492236	YP_003347504	hypothetical protein	Enterococcus phage phiFL1A	673832	93
CLSP2492235	YP_003347505	hypothetical protein	Enterococcus phage phiFL1A	673832	115
CLSP2492234	YP_003347506	hypothetical protein	Enterococcus phage phiFL1A	673832	118
CLSP2492233	YP_003347510	hypothetical protein	Enterococcus phage phiFL1A	673832	90
CLSP2492217	YP_003358855	hypothetical protein	Enterococcus phage phiEf11	663241	306
CLSP2492199	YP_001039902	putative single-strand binding protein 1	Streptococcus phage phi3396	423476	79
CLSP2492176	NP_775230	hypothetical protein	Pseudomonas phage PaP3	188350	326
CLSP2492175	NP_775228	hypothetical protein	Pseudomonas phage PaP3	188350	97
CLSP2492172	YP_001671905	hypothetical protein	Pseudomonas phage LUZ24	484895	151
CLSP2492167	YP_001671896	hypothetical protein	Pseudomonas phage LUZ24	484895	125
CLSP2492163	YP_001671888	hypothetical protein	Pseudomonas phage LUZ24	484895	318
CLSP2492162	NP_775207	hypothetical protein	Pseudomonas phage PaP3	188350	326
CLSP2492161	YP_001671885	hypothetical protein	Pseudomonas phage LUZ24	484895	219
CLSP2492160	NP_775202	hypothetical protein	Pseudomonas phage PaP3	188350	90
CLSP2492156	NP_775194	hypothetical protein	Pseudomonas phage PaP3	188350	76
CLSP2492155	NP_775193	hypothetical protein	Pseudomonas phage PaP3	188350	79
CLSP2492151	NP_775189	hypothetical protein	Pseudomonas phage PaP3	188350	77
CLSP2492147	NP_758905	ORF12	Vibrio phage VHML	207597	123
CLSP2492146	NP_758453	hypothetical protein	Lactococcus phage bIL170	63118	52
CLSP2492138	NP_958165	gp60	Burkholderia phage Bcep43	260373	78
CLSP2492133	YP_002925192	putative minor capsid protein	Vibrio phage VEJphi	642111	29
CLSP2492132	YP_002455808	hypothetical protein	Lactobacillus phage Lv-1	578234	74
CLSP2492131	NP_695150	hypothetical protein	Lactobacillus phage phig1e	52979	148
CLSP2492128	YP_164663	hypothetical protein	Lactobacillus phage LP65	298338	95
CLSP2492125	NP_695073	Structural protein	Lactococcus phage r1t	43685	348
CLSP2492119	NP_690827	morphogenetic protein P12	Pseudomonas phage phi12	161736	83
CLSP2492118	YP_002600770	P8	Pseudomonas phage phi2954	593131	210
CLSP2492117	NP_690825	major core structural protein P1	Pseudomonas phage phi12	161736	723
CLSP2492116	YP_002600762	P7	Pseudomonas phage phi2954	593131	177
CLSP2492114	NP_690814	P3b protein	Pseudomonas phage phi13	134554	92
CLSP2492111	YP_002300403	gp27.4	Bacillus phage SPO1	10685	906
CLSP2492110	NP_690690	hypothetical protein	Bacillus phage SPP1	10724	253
CLSP2492100	YP_025075	hypothetical protein	Lactobacillus phage phiAT3	279281	70
CLSP2492087	NP_666536	hypothetical protein	Sulfolobus islandicus rod-shaped virus 2	157899	119
CLSP2492061	NP_640324	hypothetical protein	Vibrio phage VpV262	194802	185
CLSP2492059	NP_640292	HNH DNAse	Vibrio phage VpV262	194802	151
CLSP2492058	NP_640285	hypothetical protein	Vibrio phage VpV262	194802	88
CLSP2492057	NP_640271	hypothetical protein	Vibrio phage VpV262	194802	322
CLSP2492054	NP_690819	P1 procapsid protein	Pseudomonas phage phi13	134554	801
CLSP2492053	NP_620345	hypothetical protein	Pseudomonas phage phi6	10879	161
CLSP2492042	YP_001449271	hypothetical protein	Enterobacteria phage BP-4795	196242	51
